9845517,s0,T1,T2,,Stat6, inhibits human ,interleukin-4," promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s8,T16,T17,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of ",Stat6, in regulating ,IL-4," transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s8,T16,T18,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of ",Stat6," in regulating IL-4 transcription, we used ",Stat6,"-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s8,T16,T19,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of ",Stat6," in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact ",IL-4," promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s8,T17,T18,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating ",IL-4," transcription, we used ",Stat6,"-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s8,T17,T19,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating ",IL-4," transcription, we used Stat6-deficient Jurkat T cells with different intact ",IL-4," promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s8,T18,T19,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used ",Stat6,-deficient Jurkat T cells with different intact ,IL-4," promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s9,T20,T21,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by ",IL-4, in ,Stat6,"-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s9,T20,T22,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by ",IL-4," in Stat6-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ,Not_a_complex
9845517,s9,T27,T20,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline ",IgE, promoter was highly induced by ,IL-4," in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s9,T28,T20,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. ","We show that, whereas a multimerized response element from the", germline IgE promoter was highly induced by ,IL-4," in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s9,T21,T22,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in ",Stat6,"-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ,Not_a_complex
9845517,s9,T27,T21,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline ",IgE, promoter was highly induced by IL-4 in ,Stat6,"-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s9,T28,T21,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. ","We show that, whereas a multimerized response element from the", germline IgE promoter was highly induced by IL-4 in ,Stat6,"-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s9,T27,T22,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline ",IgE," promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ,Not_a_complex
9845517,s9,T28,T22,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. ","We show that, whereas a multimerized response element from the"," germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human ",IL-4, promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ,Not_a_complex
9845517,s9,T28,T27,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. ","We show that, whereas a multimerized response element from the", germline ,IgE," promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of Stat6 is highly dependent on promoter context and that this factor promotes IL-4 gene expression in an indirect manner. ",Not_a_complex
9845517,s10,T23,T24,"Stat6 inhibits human interleukin-4 promoter activity in T cells. 
The differentiation of naive T-helper (Th) cells into cytokine-secreting effector Th cells requires exposure to multiple signals, including exogenous cytokines. Interleukin-4 (IL-4) plays a major role in this process by promoting the differentiation of IL-4-secreting Th2 cells. In Th2 cells, IL-4 gene expression is tightly controlled at the level of transcription by the coordinated binding of multiple transcription factors to regulatory elements in the proximal promoter region. Nuclear factor of activated T cell (NFAT) family members play a critical role in regulating IL-4 transcription and interact with up to five sequences (termed P0 through P4) in the IL-4 promoter. The molecular mechanisms by which IL-4 induces expression of the IL-4 gene are not known, although the IL-4-activated transcription factor signal transducer and activator of transcription 6 (Stat6) is required for this effect. We report here that Stat6 interacts with three binding sites in the human IL-4 promoter by electrophoretic mobility shift assays. These sites overlap the P1, P2, and P4 NFAT elements. To investigate the role of Stat6 in regulating IL-4 transcription, we used Stat6-deficient Jurkat T cells with different intact IL-4 promoter constructs in cotransfection assays. We show that, whereas a multimerized response element from the germline IgE promoter was highly induced by IL-4 in Stat6-expressing Jurkat cells, the intact human IL-4 promoter was repressed under similar conditions. We conclude that the function of ",Stat6, is highly dependent on promoter context and that this factor promotes ,IL-4, gene expression in an indirect manner. ,Not_a_complex
