16603259,s0,T15,T1,Physical and functional interactions of Arabidopsis ,ADA2, transcriptional coactivator proteins with the acetyltransferase ,GCN5," and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ADA2 proteins enhance the ability of GCN5 to acetylate histones in vitro and enable GCN5 to acetylate nucleosomal histones. Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Complex_formation
16603259,s5,T20,T12,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ",ADA2, proteins enhance the ability of ,GCN5," to acetylate histones in vitro and enable GCN5 to acetylate nucleosomal histones. Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T12,T21,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ADA2 proteins enhance the ability of ",GCN5, to acetylate ,histones," in vitro and enable GCN5 to acetylate nucleosomal histones. Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T12,T22,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ADA2 proteins enhance the ability of ",GCN5, to acetylate histones in vitro and enable GCN5 to acetylate nucleosomal ,histones,". Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T20,T13,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ",ADA2, proteins enhance the ability of GCN5 to acetylate histones in vitro and enable ,GCN5," to acetylate nucleosomal histones. Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T21,T13,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ADA2 proteins enhance the ability of GCN5 to acetylate ",histones, in vitro and enable ,GCN5," to acetylate nucleosomal histones. Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T13,T22,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ADA2 proteins enhance the ability of GCN5 to acetylate histones in vitro and enable ",GCN5, to acetylate nucleosomal ,histones,". Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T20,T21,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ",ADA2, proteins enhance the ability of GCN5 to acetylate ,histones," in vitro and enable GCN5 to acetylate nucleosomal histones. Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T20,T22,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ",ADA2, proteins enhance the ability of GCN5 to acetylate histones in vitro and enable GCN5 to acetylate nucleosomal ,histones,". Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s5,T21,T22,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ADA2 proteins enhance the ability of GCN5 to acetylate ",histones, in vitro and enable GCN5 to acetylate nucleosomal ,histones,". Moreover, GCN5 can acetylate the ADA2 proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
16603259,s6,T14,T23,"Physical and functional interactions of Arabidopsis ADA2 transcriptional coactivator proteins with the acetyltransferase GCN5 and with the cold-induced transcription factor CBF1. 
The Arabidopsis GCN5, ADA2a and ADA2b proteins are homologs of components of several yeast and animal transcriptional coactivator complexes. Previous work has implicated these plant coactivator proteins in the stimulation of cold-regulated gene expression by the transcriptional activator protein CBF1. Surprisingly, protein interaction studies demonstrate that the DNA-binding domain of CBF1 (and of a related protein, TINY), rather than its transcriptional activation domain, can bind directly to the Arabidopsis ADA2 proteins. The ADA2a and ADA2b proteins can also bind directly to GCN5 through their N-terminal regions (comparable to a region previously defined in yeast Ada2) and through previously unmapped regions in the middle of the ADA2 proteins, which bind to the HAT domain of GCN5. The ADA2 proteins enhance the ability of GCN5 to acetylate histones in vitro and enable GCN5 to acetylate nucleosomal histones. Moreover, ",GCN5, can acetylate the ,ADA2," proteins at a motif unique to the plant homologs and absent from fungal and animal homologs. We speculate that this modification may represent a novel autoregulatory mechanism for the plant SAGA-like transcriptional coactivator complexes. 
",Not_a_complex
