16828831,s1,T1,T2,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
",TRIM5alpha, is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of ,TRIM," genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T3,T19,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several ",TRIM," motifs among a panel of selected human TRIM proteins (TRIM1, 5, 6, 18, 19, 21 22, ",34,") could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T3,T4,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several ",TRIM, motifs among a panel of selected human ,TRIM," proteins (TRIM1, 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T3,T5,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several ",TRIM, motifs among a panel of selected human TRIM proteins (,TRIM1,", 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T13,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM," proteins (TRIM1, ",5,", 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T14,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM," proteins (TRIM1, 5, ",6,", 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T15,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM," proteins (TRIM1, 5, 6, ",18,", 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T16,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM," proteins (TRIM1, 5, 6, 18, ",19,", 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T17,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM," proteins (TRIM1, 5, 6, 18, 19, ",21," 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T18,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM," proteins (TRIM1, 5, 6, 18, 19, 21 ",22,", 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T19,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM," proteins (TRIM1, 5, 6, 18, 19, 21 22, ",34,") could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T4,T5,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human ",TRIM, proteins (,TRIM1,", 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T5,T13,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (",TRIM1,", ",5,", 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T5,T14,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (",TRIM1,", 5, ",6,", 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T5,T15,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (",TRIM1,", 5, 6, ",18,", 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T5,T16,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (",TRIM1,", 5, 6, 18, ",19,", 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T5,T17,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (",TRIM1,", 5, 6, 18, 19, ",21," 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T5,T18,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (",TRIM1,", 5, 6, 18, 19, 21 ",22,", 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s2,T5,T19,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (",TRIM1,", 5, 6, 18, 19, 21 22, ",34,") could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s4,T6,T7,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were ",TRIM1,", ",TRIM5," and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s4,T6,T8,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were ",TRIM1,", TRIM5 and ",TRIM34," proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s4,T7,T8,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, ",TRIM5, and ,TRIM34," proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by TRIM34 was noted, and human TRIM5alpha modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
16828831,s5,T9,T10,"Antiretroviral potential of human tripartite motif-5 and related proteins. 
TRIM5alpha is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of TRIM genes. We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, 6, 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid. Conversely, when ectopically expressed as authentic full-length proteins, most lacked activity against a panel of retroviruses. The exceptions were TRIM1, TRIM5 and TRIM34 proteins. Weak but specific inhibition of HIV-2/SIV(MAC) and EIAV by ",TRIM34," was noted, and human ",TRIM5alpha," modestly, but specifically, inhibited an HIV-1 strain carrying a mutation in the cyclophilin binding loop (G89V). Restriction activity observed in ectopic expression assays was sometimes not detectable in corresponding RNAi-based knockdown experiments. However, endogenous owl monkey TRIMCyp potently inhibited an SIV(AGM) strain. Overall, sporadic examples of intrinsic antiretroviral activity exist in this panel of TRIM proteins. 
",Not_a_complex
