8530401,s0,T18,T19,A physiological role for Saccharomyces cerevisiae ,copper/zinc superoxide dismutase, in ,copper," buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T6,T25,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of ",SOD1,", but not SOD2 (encoding manganese ",SOD,"), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T6,T26,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of ",SOD1,", but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward ",copper,". This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T6,T7,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of ",SOD1,", but not ",SOD2," (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T23,T7,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced ",copper," resistance, a deletion of SOD1, but not ",SOD2," (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T7,T24,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not ",SOD2, (encoding ,manganese," SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T7,T25,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not ",SOD2, (encoding manganese ,SOD,"), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s3,T7,T26,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not ",SOD2," (encoding manganese SOD), conferred an increased sensitivity toward ",copper,". This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s4,T27,T28,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in ",copper," buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against ",copper," toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s4,T8,T27,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of ",SOD1, in ,copper," buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s4,T8,T28,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of ",SOD1," in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against ",copper," toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T10,T11,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ",pmr1,", ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T10,T12,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ",pmr1,", bsd2, and ",ATX1," genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T10,T13,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ",pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1," mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T29,T10,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in ",copper, and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T30,T10,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and ",oxygen, radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T10,T31,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ",pmr1,", bsd2, and ATX1 genes that suppress ",oxygen," toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T10,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ",pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T11,T12,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ",ATX1," genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T11,T13,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in ",sod1," mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T29,T11,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in ",copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T30,T11,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and ",oxygen," radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T11,T31,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress ",oxygen," toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T11,T32,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper," sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
8530401,s5,T12,T13,"A physiological role for Saccharomyces cerevisiae copper/zinc superoxide dismutase in copper buffering. 
The copper toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the CRS4 gene. We now demonstrate that CRS4 is equivalent to SOD1, encoding copper/zinc superoxide dismutase (SOD). While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper. This role of SOD1 in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions. The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress oxygen toxicity in ,sod1," mutants failed to suppress the copper sensitivity of these cells. The Saccharomyces cerevisiae SOD1 gene is transcriptionally induced by copper and the ACE1 transactivator, and we demonstrate here that this induction of SOD1 promotes protection against copper toxicity but is not needed for the SOD1-protection against oxygen free radicals. Collectively, these findings indicate that copper/zinc SOD functions in the homeostasis of copper via mechanisms distinct from superoxide scavenging. 
",Not_a_complex
