10209036,s0,T1,T2,,SHP2-interacting transmembrane adaptor protein, (,SIT,"), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T11,T19,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and ",phytohemagglutinin,"-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates ",NF-AT, activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T11,T20,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and ",phytohemagglutinin,"-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls ",NF-AT, unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T11,T21,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and ",phytohemagglutinin,-mediated activation of the ,nuclear factor of activated T cells," (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T12,T14,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of ",SHP2," to SIT is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T12,T15,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of ",SHP2," to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving ",SHP2,. ,Not_a_complex
10209036,s5,T16,T12,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of ",phospholipase C,". However, binding of ",SHP2," to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T17,T12,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (",NF-AT,") by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of ",SHP2," to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T12,T18,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of ",SHP2, to SIT is not required for inhibition of ,NF-AT," induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T12,T19,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of ",SHP2," to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates ",NF-AT, activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T12,T20,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of ",SHP2," to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls ",NF-AT, unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T21,T12,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the ",nuclear factor of activated T cells," (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of ",SHP2," to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T13,T14,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to ",SIT," is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T13,T15,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to ",SIT," is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving ",SHP2,. ,Not_a_complex
10209036,s5,T16,T13,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of ",phospholipase C,". However, binding of SHP2 to ",SIT," is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T17,T13,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (",NF-AT,") by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to ",SIT," is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T13,T18,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to ",SIT, is not required for inhibition of ,NF-AT," induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T13,T19,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to ",SIT," is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates ",NF-AT, activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T13,T20,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to ",SIT," is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls ",NF-AT, unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T21,T13,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the ",nuclear factor of activated T cells," (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to ",SIT," is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ",Not_a_complex
10209036,s5,T14,T15,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving ,SHP2,. ,Not_a_complex
10209036,s5,T16,T14,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of ",phospholipase C,". However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T17,T14,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (",NF-AT,") by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T18,T14,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of ",NF-AT," induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T14,T19,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates ,NF-AT, activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T14,T20,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls ,NF-AT, unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T21,T14,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the ",nuclear factor of activated T cells," (NF-AT) by interfering with signaling processes that are probably located upstream of activation of phospholipase C. However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that ",SIT, not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving SHP2. ,Not_a_complex
10209036,s5,T16,T15,"SHP2-interacting transmembrane adaptor protein (SIT), a novel disulfide-linked dimer regulating human T cell activation. 
T lymphocytes express several low molecular weight transmembrane adaptor proteins that recruit src homology (SH)2 domain-containing intracellular molecules to the cell membrane via tyrosine-based signaling motifs. We describe here a novel molecule of this group termed SIT (SHP2 interacting transmembrane adaptor protein). SIT is a disulfide-linked homodimeric glycoprotein that is expressed in lymphocytes. After tyrosine phosphorylation by src and possibly syk protein tyrosine kinases SIT recruits the SH2 domain-containing tyrosine phosphatase SHP2 via an immunoreceptor tyrosine-based inhibition motif. Overexpression of SIT in Jurkat cells downmodulates T cell receptor- and phytohemagglutinin-mediated activation of the nuclear factor of activated T cells (NF-AT) by interfering with signaling processes that are probably located upstream of activation of ",phospholipase C,". However, binding of SHP2 to SIT is not required for inhibition of NF-AT induction, suggesting that SIT not only regulates NF-AT activity but also controls NF-AT unrelated pathways of T cell activation involving ",SHP2,. ,Not_a_complex
