22904036,s0,T1,T19,The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the ,Mig1,/,2," transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T20,T13,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase, ,Ste7,", and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T13,T21,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase ",Ste7,", and the ",MAP kinase," Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T20,T14,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the MAP kinase ",Kss1,". As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T21,T14,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the ",MAP kinase, ,Kss1,". As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T20,T21,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the ",MAP kinase," Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T9,T12,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with ",Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin ",Msb2,", the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T9,T13,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with ",Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase ",Ste7,", and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T9,T14,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with ",Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase ",Kss1,". As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T9,T20,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with ",Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the ",MAP kinase kinase," Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s6,T9,T21,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with ",Opy2,", Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the ",MAP kinase," Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T15,T16,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for ",Opy2,", ",Mig1," overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T15,T17,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for ",Opy2,", Mig1 overproduction dampened the pheromone response pathway, which implicates ",Mig1," and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T15,T18,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for ",Opy2,", Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and ",Opy2," as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T15,T30,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for ",Opy2,", Mig1 overproduction dampened the ",pheromone," response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T16,T17,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, ",Mig1," overproduction dampened the pheromone response pathway, which implicates ",Mig1," and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T16,T18,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, ",Mig1," overproduction dampened the pheromone response pathway, which implicates Mig1 and ",Opy2," as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T16,T30,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, ",Mig1, overproduction dampened the ,pheromone," response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T17,T18,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates ",Mig1, and ,Opy2," as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T30,T17,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the ",pheromone," response pathway, which implicates ",Mig1," and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s7,T30,T18,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the ",pheromone," response pathway, which implicates Mig1 and ",Opy2," as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the AMPK pathway and a MAPK pathway that controls cellular differentiation. 
",Not_a_complex
22904036,s8,T31,T22,"The filamentous growth MAPK Pathway Responds to Glucose Starvation Through the Mig1/2 transcriptional repressors in Saccharomyces cerevisiae. 
In the budding yeast S. cerevisiae, nutrient limitation induces a MAPK pathway that regulates filamentous growth and biofilm/mat formation. How nutrient levels feed into the regulation of the filamentous growth pathway is not entirely clear. We characterized a newly identified MAPK regulatory protein of the filamentous growth pathway, Opy2. A two-hybrid screen with the cytosolic domain of Opy2 uncovered new interacting partners including a transcriptional repressor that functions in the AMPK pathway, Mig1, and its close functional homolog, Mig2. Mig1 and Mig2 coregulated the filamentous growth pathway in response to glucose limitation, as did the AMP kinase Snf1. In addition to associating with Opy2, Mig1 and Mig2 interacted with other regulators of the filamentous growth pathway including the cytosolic domain of the signaling mucin Msb2, the MAP kinase kinase Ste7, and the MAP kinase Kss1. As for Opy2, Mig1 overproduction dampened the pheromone response pathway, which implicates Mig1 and Opy2 as potential regulators of pathway specificity. Taken together, our findings provide the first regulatory link in yeast between components of the ",AMPK, pathway and a ,MAPK," pathway that controls cellular differentiation. 
",Not_a_complex
