22940692,s1,T1,T12,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of ",insulin, principally controls ,glucose," homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s5,T7,T23,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly ",AKAP150, null animals display improved ,glucose," handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s5,T7,T24,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly ",AKAP150, null animals display improved glucose handling and heightened ,insulin," sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s6,T8,T26,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of ",AKAP150, knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of ,phosphatases," to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Complex_formation
22940692,s6,T25,T26,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or ",protein phosphatase 2B, uncover an unexpected observation that tethering of ,phosphatases," to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s6,T8,T25,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of ",AKAP150, knock-in mice unable to anchor protein kinase A or ,protein phosphatase 2B," uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s6,T8,T9,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of ",AKAP150, knock-in mice unable to anchor ,protein kinase A," or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s6,T9,T25,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor ",protein kinase A, or ,protein phosphatase 2B," uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s6,T9,T26,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor ",protein kinase A, or protein phosphatase 2B uncover an unexpected observation that tethering of ,phosphatases," to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s7,T10,T11,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate ",insulin, secretion and glucose homeostasis may be set by ,AKAP150," associated phosphatase activity. 
",Not_a_complex
22940692,s7,T10,T27,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate ",insulin, secretion and ,glucose," homeostasis may be set by AKAP150 associated phosphatase activity. 
",Not_a_complex
22940692,s7,T10,T28,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate ",insulin, secretion and glucose homeostasis may be set by AKAP150 associated ,phosphatase," activity. 
",Not_a_complex
22940692,s7,T27,T11,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and ",glucose, homeostasis may be set by ,AKAP150," associated phosphatase activity. 
",Not_a_complex
22940692,s7,T11,T28,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and glucose homeostasis may be set by ",AKAP150, associated ,phosphatase," activity. 
",Not_a_complex
22940692,s7,T27,T28,"Anchored phosphatases modulate glucose homeostasis. 
Endocrine release of insulin principally controls glucose homeostasis. Nutrient-induced exocytosis of insulin granules from pancreatic beta-cells involves ion channels and mobilization of Ca(2+) and cyclic AMP (cAMP) signalling pathways. Whole-animal physiology, islet studies and live-beta-cell imaging approaches reveal that ablation of the kinase/phosphatase anchoring protein AKAP150 impairs insulin secretion in mice. Loss of AKAP150 impacts L-type Ca(2+) currents, and attenuates cytoplasmic accumulation of Ca(2+) and cAMP in beta-cells. Yet surprisingly AKAP150 null animals display improved glucose handling and heightened insulin sensitivity in skeletal muscle. More refined analyses of AKAP150 knock-in mice unable to anchor protein kinase A or protein phosphatase 2B uncover an unexpected observation that tethering of phosphatases to a seven-residue sequence of the anchoring protein is the predominant molecular event underlying these metabolic phenotypes. Thus anchored signalling events that facilitate insulin secretion and ",glucose, homeostasis may be set by AKAP150 associated ,phosphatase," activity. 
",Not_a_complex
