11340081,s0,T24,T25,"Nck and phosphatidylinositol 4,5-bisphosphate synergistically activate actin polymerization through the N-WASP-",Arp2,/,3," pathway. 
",Complex_formation
11340081,s5,T19,T20,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and ",Cdc42, activate ,N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T32,T19,Nck-stimulated ,actin," nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T33,T19,Nck-stimulated actin nucleation by N-WASP.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T34,T19,Nck-stimulated actin nucleation by N-WASP.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T39,T19,Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T42,T19,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that Nck and ",Cdc42, activate N-WASP by redundant mechanisms.,Not_a_complex
11340081,s5,T32,T20,Nck-stimulated ,actin," nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T33,T20,Nck-stimulated actin nucleation by N-WASP.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T34,T20,Nck-stimulated actin nucleation by N-WASP.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T39,T20,Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T42,T20,"Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that Nck and Cdc42 activate ",N-WASP, by redundant mechanisms.,Not_a_complex
11340081,s5,T32,T33,Nck-stimulated ,actin, nucleation by N-WASP.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T32,T34,Nck-stimulated ,actin, nucleation by N-WASP.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T32,T39,Nck-stimulated ,actin, nucleation by N-WASP.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T32,T42,Nck-stimulated ,actin," nucleation by N-WASP.Arp2/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T33,T39,Nck-stimulated actin nucleation by N-WASP.,Arp2,/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T33,T42,Nck-stimulated actin nucleation by N-WASP.,Arp2,"/3 complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T34,T39,Nck-stimulated actin nucleation by N-WASP.Arp2/,3, complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by GTP-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T34,T42,Nck-stimulated actin nucleation by N-WASP.Arp2/,3," complexes is further stimulated by phosphatidylinositol 4,5-bisphosphate, but not by ",GTP,"-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s5,T39,T42,Nck-stimulated actin nucleation by N-WASP.Arp2/3 complexes is further stimulated by ,"phosphatidylinositol 4,5-bisphosphate",", but not by ",GTP,"-Cdc42, suggesting that Nck and Cdc42 activate N-WASP by redundant mechanisms.",Not_a_complex
11340081,s6,T21,T22,These results suggest the existence of an ,Nck,"-dependent, ",Cdc42,"-independent mechanism to induce actin polymerization at tyrosine-phosphorylated Nck binding sites. 
",Not_a_complex
11340081,s6,T21,T23,These results suggest the existence of an ,Nck,"-dependent, Cdc42-independent mechanism to induce actin polymerization at tyrosine-phosphorylated ",Nck," binding sites. 
",Not_a_complex
11340081,s6,T21,T35,These results suggest the existence of an ,Nck,"-dependent, Cdc42-independent mechanism to induce ",actin," polymerization at tyrosine-phosphorylated Nck binding sites. 
",Not_a_complex
11340081,s6,T22,T23,"These results suggest the existence of an Nck-dependent, ",Cdc42,-independent mechanism to induce actin polymerization at tyrosine-phosphorylated ,Nck," binding sites. 
",Not_a_complex
11340081,s6,T22,T35,"These results suggest the existence of an Nck-dependent, ",Cdc42,-independent mechanism to induce ,actin," polymerization at tyrosine-phosphorylated Nck binding sites. 
",Not_a_complex
11340081,s6,T35,T23,"These results suggest the existence of an Nck-dependent, Cdc42-independent mechanism to induce ",actin, polymerization at tyrosine-phosphorylated ,Nck," binding sites. 
",Not_a_complex
