7929104,s0,T1,T29,Regulation of ,interleukin-2 receptor alpha chain, expression and ,nuclear factor.kappa B, activation by protein kinase C in T lymphocytes.,Not_a_complex
7929104,s5,T17,T37,"Furthermore, cyclosporin A, which blocked TNF alpha production induced by PKC, strongly inhibited ",IL-2R alpha, and ,NF.kappa B, activation.,Not_a_complex
7929104,s5,T36,T26,"Furthermore, ",cyclosporin A,", which blocked TNF alpha production induced by ",PKC,", strongly inhibited IL-2R alpha and NF.kappa B activation.",Not_a_complex
7929104,s5,T26,T37,"Furthermore, cyclosporin A, which blocked TNF alpha production induced by ",PKC,", strongly inhibited IL-2R alpha and ",NF.kappa B, activation.,Not_a_complex
7929104,s5,T36,T37,"Furthermore, ",cyclosporin A,", which blocked TNF alpha production induced by PKC, strongly inhibited IL-2R alpha and ",NF.kappa B, activation.,Not_a_complex
7929104,s6,T18,T19,The addition of either ,TNF alpha, or ,IL-2," partially recovered cyclosporin A-induced IL-2R alpha inhibition, but only TNF alpha completely recovered NF.kappa B activation.",Not_a_complex
7929104,s6,T18,T20,The addition of either ,TNF alpha, or IL-2 partially recovered cyclosporin A-induced ,IL-2R alpha," inhibition, but only TNF alpha completely recovered NF.kappa B activation.",Not_a_complex
7929104,s6,T18,T21,The addition of either ,TNF alpha," or IL-2 partially recovered cyclosporin A-induced IL-2R alpha inhibition, but only ",TNF alpha, completely recovered NF.kappa B activation.,Not_a_complex
7929104,s6,T18,T38,The addition of either ,TNF alpha, or IL-2 partially recovered ,cyclosporin A,"-induced IL-2R alpha inhibition, but only TNF alpha completely recovered NF.kappa B activation.",Not_a_complex
7929104,s6,T18,T39,The addition of either ,TNF alpha," or IL-2 partially recovered cyclosporin A-induced IL-2R alpha inhibition, but only TNF alpha completely recovered ",NF.kappa B, activation.,Not_a_complex
7929104,s6,T19,T20,The addition of either TNF alpha or ,IL-2, partially recovered cyclosporin A-induced ,IL-2R alpha," inhibition, but only TNF alpha completely recovered NF.kappa B activation.",Not_a_complex
7929104,s6,T19,T21,The addition of either TNF alpha or ,IL-2," partially recovered cyclosporin A-induced IL-2R alpha inhibition, but only ",TNF alpha, completely recovered NF.kappa B activation.,Not_a_complex
7929104,s6,T19,T38,The addition of either TNF alpha or ,IL-2, partially recovered ,cyclosporin A,"-induced IL-2R alpha inhibition, but only TNF alpha completely recovered NF.kappa B activation.",Not_a_complex
7929104,s6,T19,T39,The addition of either TNF alpha or ,IL-2," partially recovered cyclosporin A-induced IL-2R alpha inhibition, but only TNF alpha completely recovered ",NF.kappa B, activation.,Not_a_complex
7929104,s6,T20,T21,The addition of either TNF alpha or IL-2 partially recovered cyclosporin A-induced ,IL-2R alpha," inhibition, but only ",TNF alpha, completely recovered NF.kappa B activation.,Not_a_complex
7929104,s6,T38,T20,The addition of either TNF alpha or IL-2 partially recovered ,cyclosporin A,-induced ,IL-2R alpha," inhibition, but only TNF alpha completely recovered NF.kappa B activation.",Not_a_complex
7929104,s6,T20,T39,The addition of either TNF alpha or IL-2 partially recovered cyclosporin A-induced ,IL-2R alpha," inhibition, but only TNF alpha completely recovered ",NF.kappa B, activation.,Not_a_complex
7929104,s6,T38,T21,The addition of either TNF alpha or IL-2 partially recovered ,cyclosporin A,"-induced IL-2R alpha inhibition, but only ",TNF alpha, completely recovered NF.kappa B activation.,Not_a_complex
7929104,s6,T21,T39,"The addition of either TNF alpha or IL-2 partially recovered cyclosporin A-induced IL-2R alpha inhibition, but only ",TNF alpha, completely recovered ,NF.kappa B, activation.,Not_a_complex
7929104,s6,T38,T39,The addition of either TNF alpha or IL-2 partially recovered ,cyclosporin A,"-induced IL-2R alpha inhibition, but only TNF alpha completely recovered ",NF.kappa B, activation.,Not_a_complex
7929104,s7,T22,T23,"Those results indicate that, in resting T cells, PKC activation has only a triggering role, whereas the endogenously secreted ",TNF alpha, plays an essential role in the quantitative control of the expression of ,IL-2R alpha chain, or NF.kappa B activation.,Not_a_complex
7929104,s7,T27,T22,"Those results indicate that, in resting T cells, ",PKC," activation has only a triggering role, whereas the endogenously secreted ",TNF alpha, plays an essential role in the quantitative control of the expression of IL-2R alpha chain or NF.kappa B activation.,Not_a_complex
7929104,s7,T22,T40,"Those results indicate that, in resting T cells, PKC activation has only a triggering role, whereas the endogenously secreted ",TNF alpha, plays an essential role in the quantitative control of the expression of IL-2R alpha chain or ,NF.kappa B, activation.,Not_a_complex
7929104,s7,T27,T23,"Those results indicate that, in resting T cells, ",PKC," activation has only a triggering role, whereas the endogenously secreted TNF alpha plays an essential role in the quantitative control of the expression of ",IL-2R alpha chain, or NF.kappa B activation.,Not_a_complex
7929104,s7,T23,T40,"Those results indicate that, in resting T cells, PKC activation has only a triggering role, whereas the endogenously secreted TNF alpha plays an essential role in the quantitative control of the expression of ",IL-2R alpha chain, or ,NF.kappa B, activation.,Not_a_complex
7929104,s7,T27,T40,"Those results indicate that, in resting T cells, ",PKC," activation has only a triggering role, whereas the endogenously secreted TNF alpha plays an essential role in the quantitative control of the expression of IL-2R alpha chain or ",NF.kappa B, activation.,Not_a_complex
