24451968	T16	org	keywords "H. pylori". Important references from selected articles were also retrieved from Elsevier, Wiley, EBSCO, and SPRINGER. The Chinese articles published were searched from China National Knowledge Infrastructure (CNKI). STUDY SELECTION: Articles about "prevalence", "gastric carcinoma", "peptic ulcer", "gastroesophageal reflux disease", "functional dyspepsia", "pathogenic mechanism", "therapy", "eradication rate", "antibiotic resistance", and "gene polymorphisms" were selected. RESULTS: The decreased infection rates of H. pylori could also be linked to the changed disease spectrum, such as the decreased morbidity and recurrence rate of H. pylori-related peptic ulcer, and the increased morbidity of gastroesophageal reflux. Although different treatment regimens have been used for 	H. pylori	 infection, the H. pylori eradication rate declined gradually. Due to primary resistance to antibiotics, the gene polymorphism of host and infected strain, and the therapy regimes, H. pylori eradication became even more difficult. CONCLUSIONS: The prevalence of H. pylori infection had been decreasing, but the rate of eradication failure has dramatically risen in many countries due to resistance to antibiotic. H. pylori therapy in clinical practice is becoming progressively more difficult. DOCEND
6219724	T63	out	stage Hodgkin's disease using a series of monoclonal antibodies defining immunoregulatory lymphoid cells. Immediately following the completion of radiotherapy, there was a significant reduction in the number of lymphocytes and the percent of circulating T cells. This acute decrease in T cells was due to a marked diminution in the number of inducer T cells, while the fraction of suppressor T cells remained constant. These changes persisted for up to 12 mo and were accompanied by a later increase in the fraction of circulating B lymphocytes and cells bearing surface Ia. It thus appears that mantle and paraaortic radiotherapy causes 	a relatively selective reduction	 in the inducer T-cell population. The implications of a change in the ratio of inducer to suppressor T cells is discussed. DOCEND
25637283	T17	che	and dasatinib was the most potent. Second, we performed RNA expression analysis on 3 dasatinib-resistant and 3 dasatinib-sensitive pancreatic cancer cell lines to profile their gene expression. Third, gene profiling data was integrated with the Connectivity Map database to search for potential drugs. Thioridazine was one of the top ranking small molecules with highly negative enrichment. Thioridazine and its family members of phenothiazine including penfluridol caused pancreatic cancer cell death and affected protein expression levels of molecules involved in cell cycle regulation, apoptosis, and multiple kinase activities. This family of drugs causes activation of protein phosphatase 2 (PP2A). The drug 	FTY-720	 (activator of PP2A) induced apoptosis of pancreatic cancer cells. Silencing catalytic unit of PP2A rendered pancreatic cancer cells resistant to penfluridol. Our observations suggest potential therapeutic use of penfluridol or similar agent associated with activation of PP2A in pancreatic cancers. DOCEND
23878745	T59	out	Autoimmune thyroid disorders. Purpose of Review. Studies have been published in the field of autoimmune thyroid diseases since January 2005. The review is organized into areas of etiology, autoimmune features, autoantibodies, mechanism of thyroid cell injury, B-cell responses, and T-cell responses. Also it reviews the diagnosis and the relationship between autoimmune thyroid disease, neoplasm, and kidney disorders. Recent Findings. Autoimmune thyroid diseases have been reported in people living in different parts of the world including North America, Europe, Baalkans, Asia, Middle East, South America, and Africa though the reported figures do not fully reflect the number of people infected per 	year	. Cases are unrecognized due to inaccurate diagnosis and hence are treated as other diseases. However, the most recent studies have shown that the human autoimmune thyroid diseases (AITDs) affect up to 5% of the general population and are seen mostly in women between 30 and 50 years. Summary. Autoimmune thyroid disease is the result of a complex interaction between genetic and environmental factors. Overall, this review has expanded our understanding of the mechanism involved in pathogenesis of AITD and the relationship between autoimmune thyroid disease, neoplasm, and kidney disease. It has opened new lines of investigations that will ultimately result
8864461	T4	dis	DOCSTART Chagas' disease after bone marrow transplantation. Chagas' disease is caused by Trypanosoma cruzi. It is endemic in Latin America where 16 to 18 million people are infected. Immunocompromised patients such as BMT recipients are at risk of 	Chagas' disease	 either due to reactivation or transfusion. We report a case of acute Chagas' disease in the setting of BMT. DOCEND
18403660	T12	out	DOCSTART High-resolution CT findings of parenchymal fibrosis correlate with prognosis in hypersensitivity pneumonitis. BACKGROUND: Histopathologic evidence of fibrosis on 	surgical lung biopsy	 has been associated with reduced survival in patients with hypersensitivity pneumonitis (HP). Changes of pulmonary fibrosis detected on CT may also correlate with prognosis in patients with HP. METHODS: We identified 69 consecutive patients with HP diagnosed between January 1997 and December 2002 at Mayo Clinic, Rochester, MN. Patients were stratified into fibrotic and nonfibrotic groups based on the CT findings. Fibrosis was defined by the presence of irregular linear opacities, traction bronchiectasis, or honeycombing. MEASUREMENTS AND MAIN RESULTS: Of 69 patients, 26 were classified as fibrotic and 43 as nonfibrotic. Patients in the fibrotic group were older, had longer
21205742	T35	che	the mRNA and protein level, and showed resveratrol involvement in ATF3 transcriptional regulation. Analysis of the ATF3 promoter revealed the importance of early growth response-1 (Egr-1; located at -245 to -236) and Kruppel-like factor 4 (KLF4; located at -178 to -174) putative binding sites in resveratrol-mediated ATF3 transactivation. Specificity of these sites to the Egr-1 and KLF4 protein was confirmed by electrophoretic mobility shift and chromatin immunoprecipitation assays. Resveratrol increased Egr-1 and KLF4 expression, which preceded ATF3 expression, and further suggests Egr-1 and KLF4 involvement in resveratrol-mediated activity. We provide evidence for Egr-1 and KLF4 interaction in the presence of 	resveratrol	, which may facilitate ATF3 transcriptional regulation by this compound. Furthermore, we demonstrate that induction of apoptosis by resveratrol is mediated, in part, by increased ATF3 expression. Taken together, these results provide a novel mechanism by which resveratrol induces ATF3 expression and represent an additional explanation of how resveratrol exerts its antitumorigenic effects in human colorectal cancer cells. DOCEND
21543246	T112	out	Farmis-Oncofarm((R)) software and the medical and pharmacotherapeutic records. The haematological toxicity was assessed in accordance with the Common Toxicity Criteria 3.0. Renal toxicity was evaluated using serum creatinine levels and creatinine clearance. RESULTS: Thirty-one patients were included in the study who were administered a total of 122 cycles. There was a 34.0% and 30.8% incidence of anaemia and grade 3 neutropaenia, respectively. There was also a 3.8% and 7.7% incidence of grade 3 and grade 4 thrombocytopaenia, respectively. No cases of renal toxicity were found. 65.0% of patients received more than 85.0% of the planned theoretical dosage of carboplatin and 	58%	 of patients received more than 85.0% of the planned theoretical dosage of gemcitabine. Administration was delayed in 18.0% of the cycles prescribed. CONCLUSIONS: The indication and prescription of the GEM-CARBO regimen was adjusted in accordance with solid scientific evidence, but its haematological toxicity limited its use and made it difficult to maintain the dose intensity foreseen in the study. This compromised the effectiveness of the treatment. DOCEND
9240252	T22	ggp	normo-ovulatory cycles at the Dijkzigt Academic Hospital. Western ligand blot analysis and protease assays were used to determine IGFBP profile, and immunoradiometric assays were used to detect IGF levels. SETTING: The study was performed in two academic medical centers. PATIENT(S): Female-to-male trans-sexuals and women with normo-ovulatory cycles. INTERVENTIONS: None. MAIN OUTCOME MEASURE(S): Determination of IGF levels and IGFBP profile. RESULT(S): Insulin-like growth factor I levels in FF from female-to-male trans-sexuals were not significantly different compared with levels in androgen-dominant FF and estrogen-dominant FF. Significantly lower levels of IGF-II were observed in FF from female-to-male trans-sexuals than in estrogen-dominant FF, whereas 	IGF-II	 levels in FF from female-to-male trans-sexuals were not significantly different than those in androgen-dominant FF. Similar IGFBP profiles from FF from female-to-male trans-sexuals and androgen-dominant FF were noted, with markedly elevated levels of the 31- and 24-kd IGFBPs and a 28-kd IGFBP, compared with estrogen-dominant FF. An IGFBP-4-specific metalloserine protease that is active in estrogen-dominant FF likewise was undetected in FF from female-to-male trans-sexuals. CONCLUSION(S): Follicles developing under the influence of exogenous androgens in ovaries in female-to-male trans-sexuals appear to be similar to androgen-dominant follicles in normo-ovulatory women with regard to IGF-I and IGF-II levels, IGFBP profile, and the absence
8303457	T25	out	DOCSTART Transpedicular decancellation closed wedge vertebral osteotomy for treatment of fixed flexion deformity of spine in ankylosing spondylitis. Limitation of movement of the back, pelvis, chest wall, and other joints are the consequences of ankylosing spondylitis. 	The most serious problem	 is severe kyphosis leading to disturbance of the activities of daily living and failure of the respiratory system. Transpedicular decancellation closing wedge vertebral osteotomy, using the posterior approach followed by segmental spinal instrumentation, is a safe and easy technique for correction of the deformity. The authors report the results of this technique in six patients, five men and one woman, who had undergone the operation. The average age of the patients was 29.8 years (range 21-38). Three patients had thoracolumbar kyphosis averaging 104 degrees (range, 80-120), while the others had lumbar kyphosis averaging 46.7 degrees (range, 35-60). The angles of
15869672	T1	org	DOCSTART Feasibility of using an implantable system to measure thoracic congestion in an ambulatory chronic heart failure canine model. BACKGROUND: Noninvasive measures of impedance reflect alterations in thoracic fluid and pulmonary edema in acute animal and 	human	 studies. MATERIALS AND METHODS: We evaluated the feasibility of using an implantable impedance measuring device and cardiac lead system to monitor intrathoracic congestion in a pacing-induced heart failure canine model. Three devices were implanted in each of five dogs: a modified pacemaker to measure impedance from a defibrillation lead implanted in the right ventricle; an implantable hemodynamic monitoring device to measure left ventricular end diastolic pressure (LVEDP) and a second pacemaker to deliver rapid (240 pulses per minute) ventricular pacing to induce heart failure. RESULTS: All five dogs developed severe heart failure after 3-4 weeks of rapid pacing and recovered
24085819	T48	out	DOCSTART Melanocortin 4 receptor becomes an ACTH receptor by coexpression of melanocortin receptor accessory protein 2. Melanocortin 2 receptor (MC2R) is the only canonical ACTH receptor. Its functional expression requires the presence of an accessory protein, known as melanocortin receptor 2 accessory protein 1 (MRAP1). The vertebrate genome exhibits a paralogue gene called MRAP2, which is duplicated in zebrafish (MRAP2a and MRAP2b), although its function remains unknown. In this paper, we demonstrate that MRAP2a enables MC4R, a canonical MSH receptor, to be activated by ACTH with 	a similar sensitivity	 to that exhibited by MC2R. Both proteins physically interact and are coexpressed in the neurons of the preoptic area, a key region in the control of the energy balance and hypophyseal secretion in fish. ACTH injections inhibit food intake in wild-type zebrafish but not in fish lacking functional MC4R. Both MRAP1 and MRAP2a are hormonally regulated, suggesting that these proteins are substrates for feed-back regulatory pathways of melanocortin signaling. Fasting has no effect on the central expression of MRAP2a but stimulates MRAP2b expression. This protein interacts and is colocalized with MC4R in the tuberal hypothalamic neurons but has no effect
15367103	T43	che	metformin and the p38 inhibitor, SB203580. To differentiate between a sodium-coupled (SGLT1) and diffusive (GLUT2) route of entry, fluxes were measured in the presence of the SGLT1 and GLUT2 inhibitors phloridzin and phloretin. Glucose transporter mRNA levels were measured by reverse transcriptase-PCR, and localization by Western blotting. Surface-expressed GLUT2 was assessed by luminal biotinylation. Activation of p38 mitogen-activated protein kinase was analysed by Western blotting. We found that treatment of jejunal tissue with AICAR resulted in enhanced net glucose uptake and was associated with phosphorylation of p38 mitogen-activated protein kinase. Inhibition of p38 abrogated the stimulation of AICAR-stimulated glucose uptake. 	Phloretin	 abolished the AICAR-mediated increase in glucose flux, whereas phloridzin had no effect, suggesting the involvement of GLUT2. In addition, AICAR decreased total protein levels of SGLT1, concurrently increasing levels of GLUT2 in the brush-border membrane. The anti-diabetic drug metformin, a known activator of AMPK, also induced the localization of GLUT2 to the luminal surface. We conclude that the activation of AMPK results in an up-regulation of non-energy requiring glucose uptake by GLUT2 and a concurrent down-regulation of sodium-dependent glucose transport. DOCEND
15466659	T22	out	DOCSTART Plasma cGMP and large artery remodeling in asymptomatic men. cGMP regulates vascular smooth muscle tone and arterial wall response to proliferative signals. We determined plasma cGMP and carotid artery intima-media thickness (IMT) and diameter in 84 asymptomatic men submitted to 	investigation	 of their cardiovascular risk profiles. Plasma cGMP was positively associated with IMT (P<0.01) and diameter (P<0.05), independently of coexisting risk factors. These associations were reinforced in the subgroup of subjects with high-sensitivity C-reactive protein level or multiple atherosclerotic plaques. A positive relationship existed between diameter and IMT (P<0.01) and disappeared after cGMP adjustment. This suggests a link between cGMP pathway and arterial wall geometry that is revealed by vascular injury conditions and may participate in early large artery remodeling. DOCEND
2697108	T5	dis	DOCSTART Antibodies to mycobacteria in healthy and tuberculous badgers from two English counties. Sera obtained from 2 groups of badgers removed in bovine tuberculosis control operations have been examined for antibodies to 11 species of mycobacteria. From animals without post mortem evidence of tuberculosis, levels of antibodies to mycobacteria were found to increase with age, and different patterns of antibodies were found in animals coming from 2 different places. Some animals (5 out of 60) without evidence of progressive infection had antibodies suggesting contact with tubercle bacilli. Animals found to have 	tuberculosis	 at post mortem had increased levels of antibody to common mycobacterial antigen, as do humans with that disease. Only 2 of the 12 tuberculous animals had markedly more antibody binding to Tuberculin than to the other reagents. There was no evidence of greater specificity of antibody binding than was shown by sera of healthy badgers. The suggestion is made that contact with environmental mycobacteria might be a major factor determining distribution of tuberculosis amongst badgers. DOCEND
9012840	T69	out	reduce the risk of colon cancer, possibly via cyclooxygenase (COX) inhibition. The growth factor-inducible COX-2, which is overexpressed in neoplastic colonic tissue, is an attractive target to mediate this effect. Herein we have exploited the ability of a human colon cancer cell line, HCA-7 Colony 29, to polarize when cultured on Transwell (Costar) filters to study COX-2 production and the vectorial release of prostaglandins (PGs). Administration of type alpha transforming growth factor to the basolateral compartment, in which the epidermal growth factor receptor (EGFR) resides, results in a marked induction of COX-2 immunoreactivity at the base of the cells and 	the unexpected appearance	 of COX-2 in the nucleus. The increase in COX-2 protein is associated with a dose- and time-dependent increase in PG levels in the basolateral, but not apical, medium. Amphiregulin is the most abundantly expressed EGFR ligand in these cells, and the protein is present at the basolateral surface. EGFR blockade reduces baseline COX-2 immunoreactivity, PG levels, and mitogenesis in a concentration-dependent manner. Two specific COX-2 inhibitors, SC-58125 and NS 398, also, in a dose-dependent manner, attenuate baseline and type alpha transforming growth factor-stimulated mitogenesis, although PG levels are decreased > 90% at all concentrations of inhibitor tested. These findings show that
25246139	T35	ggp	STAT6 in the psoriatic lesions were determined using immunohistochemistry (IHC), Western blot, and real-time quantitative reverse transcription polymerase chain reaction, respectively. RESULTS: Production of IL-17, IL-23 and IL-6 in the BHS group and BSS group were significantly increased compared with those in the control group (P<0.05). Levels of IL-17 and IL-23 in the BHS group were higher than those in the BSS group (P<0.05). Compared with the control group, IHC positive expressions and protein expressions of STAT3 and p38-MAPK, and the STAT3 mRNA expressions in the BHS and BSS groups were significantly higher (P<0.05 or P<0.01). The protein expression of 	STAT3	 in the BHS group was significantly higher than that in the BSS group (P<0.05). CONCLUSIONS: Cytokines in serum and signal transducers in the psoriatic lesions alter with various CM syndromes of psoriasis. The results provide scientific basis for the treatment based on syndrome differentiation of CM in treating psoriasis vulgaris. DOCEND
9475219	T103	out	bed per 27250 new attendances (mean 8380, median 6625). Where data on admission rates were available the departments admitted between 0.1% and 13.3% of their new attendances (mean 2.62%, median 1.9%). Cover was typically provided by an A&E senior house officer with frequent senior ward rounds. While the casemix usually included minor head injuries and alcohol intoxicated patients, there was considerable variation in the cases admitted. CONCLUSIONS: Short stay provision is highly variable in the United Kingdom. While there are many reports of well run short stay units, consistent evidence of clinical value and cost-effectiveness compared to other methods of 	care	 is lacking. Further comparative studies are required to define the role of the A&E short stay ward. DOCEND
1777649	T1	dis	DOCSTART Recent trends in the epidemiology of 	diabetes mellitus	 in European and Mediterranean countries. DOCEND
22957424	T134	out	properties in the plant was performed using minimum inhibitory concentration (MIC) and minimum bactericidal concentration (MBC). The phytochemical constituents in the plant were evaluated via phytochemical screening and thin layer chromatography (TLC). RESULTS: P. sarmentosum inhibited the growth of MRSA with an inhibition zone of 10.0 mm. There was no inhibition zone observed for the other microbes tested. MIC test showed a value of 50mg/ml and MBC results showed no Colony Forming Unit (CFU) at 100 mg/ml against MRSA. Phytochemical screening of the crude extract indicated the presence of tannins, flavonoids, alkaloids glycosides and anthraquinone. Thin-layer chromatography (TLC) further confirmed 	the presence	 of flavonoids and alkaloids in the extract. CONCLUSION: P. sarmentosum has shown to have some antimicrobial properties against MRSA. Based on the MIC index (MBC/MIC), the extract exhibits bactericidal effects against MRSA. TLC analysis indicated the presence of flavonoids and alkaloids which could have contributed to the antimicrobial activity of the plant extract. DOCEND
10598575	T20	che	role for AKAP (A kinase anchoring protein) scaffolding in the loss of a cyclic adenosine 3',5'-monophosphate inhibitory response in late pregnant rat myometrium. During pregnancy in the rat, there is a change in the ability of chlorophenylthio (CPT)-cAMP to inhibit myometrial phosphatidylinositide turnover. This is accompanied by a change in the association of proteins with a plasma membrane A kinase anchoring protein (AKAP). Both CPT-cAMP and isoproterenol inhibited oxytocin-stimulated phosphatidylinositide turnover on days 12 through 20 of gestation, whereas neither agent had an effect on day 21. Accompanying this change was a dramatic decrease in the concentration and activity of 	cAMP	-dependent protein kinase [protein kinase A (PKA)] and an increase in the concentration of protein phosphatase 2B (PP2B) in plasma membranes from day 21 compared with day 19 pregnant rats. In contrast, both PKA and PP2B concentrations and activities increased in total myometrial homogenates. Both PKA and PP2B coimmunoprecipitated with an antibody against the 150-kDa AKAP found in rat myometrial plasma membranes. More PKA was associated with AKAP150 on day 19 than on day 21, while the reverse was true for PP2B. Disruption of PKA/AKAP association in day 19 pregnant rat myometrial cells with the specific interaction inhibitor peptide S-Ht31
1227340	T38	out	DOCSTART [Study of taeniarhynchosis in 5 districts of the People's Republic of Bulgaria with reference to chemoprophylaxis. Report given during the IVth symposium of the GDR on "Taeniarhynchosis-Cysticercosis" on April 26th, 1974 in Schwerin]. 1968-1972 in five districts of DR Bulgaria 666 persons with Taeniarhynchus saginatus infection were registered, 64% of these tapeworm carriers lived in the country, 	36%	 were townspeople. The incidence of infection in women was twice as high as in man. There were differences in incidence in jobs, 21.6% in farm workers, 20.2% in industrial workers, 13.8% in workers in the tobacco industry, 14.2% in housewives, 12.1% in pulls, 9.2% in office workers and 8.1% in pensioners carried tapeworms. Only 1.4% of animal breeders were infected with T. saginatus. The incidence of infestation increased in relation to the age. - In the Kardschali district, the tobacco farmers with a disease incidence of 34.8% represented a large part of the total incidence in the country. The private keeping
27320966	T8	org	DOCSTART Serological survey of Encephalitozoon cuniculi infection in cats in Japan. Antibodies to Encephalitozoon cuniculi (E. cuniculi) were examined by enzyme-linked immunosorbent assay using E. cuniculi PTP2 recombinant protein from serum samples that had been collected from a total of 295 cats in Japan. Of these samples, 6.1% (18/295) had antibodies against E. cuniculi, which included 6.3% (6/96) of the male cats and 6.0% (12/199) of the female cats. The incidence was slightly higher in feral cats (8.3%, 11/132) compared to domesticated cats (4.3%, 7/163). This suggests the possibility that the cats of our country have become a reservoir of 	E. cuniculi	. This study is the first to demonstrate the prevalence of E. cuniculi infection in cats in Japan. DOCEND
15946543	T86	out	line SGC7901. Stable transfectants were obtained respectively, namely 7Ang1+ for sense, 7Ang1- for antisense, and 7901P for empty vector transfected cells. Semiquantitative PCR and Western blot were employed to testify the transfection efficiency. Cell growth curve and cell cycle were observed by MTT assays or flow cytometry. In in vivo study, growth of SGC7901 xeno-transplant was observed in BALB/c nude mice. Microvessel density (MVD) was analyzed by immunohistochemistry for Factor VIII staining. RESULTS: Stably transfected cell lines were established and decreased expression of Ang1 protein and mRNA in the antisense transfected SGC7901 cells was achieved. Tumorigenesis of 7Ang1- cells on 	day 30 days	 was significantly inhibited with decreased MVD as compared to that in 7901P and 7Ang1+ cells (P < 0.01). CONCLUSION: Angiopoietin-1 plays an important role in tumorigenesis and angiogenesis of gastric cancer which can be partially abrogated by antisense technique. DOCEND
24991923	T6	dis	primary clinical outcome measures were changes in hemoglobin A1C (A1C) and blood pressure. Other outcomes included fasting lipids, weight, patient engagement, diabetes knowledge, hypertension knowledge, medication adherence, and patient perceptions of the usefulness of the telemonitoring program. RESULTS: Mean A1C decreased from 9.73% at baseline to 7.81% at the end of the program (P<0.0001). Systolic blood pressure also declined significantly, from 130.7 mm Hg at baseline to 122.9 mm Hg at the end (P=0.0001). Low-density lipoprotein content decreased significantly, from 103.9 mg/dL at baseline to 93.7 mg/dL at the end (P=0.0263). Other clinical parameters improved nonsignificantly. Knowledge of diabetes and 	hypertension	 increased significantly (P<0.001 for both). Patient engagement and medication adherence also improved, but not significantly. Per questionnaires at study end, patients felt the telemonitoring program was useful. CONCLUSIONS: Telemonitoring improved clinical outcomes and may be a useful tool to help enhance disease management and care of patients with diabetes and/or hypertension. DOCEND
2471185	T100	out	the children with endobronchial pathology there was observed imbalance in the system evident from increasing activity of TLP and simultaneous decreasing of ATA and the content of ARI. The maximum inhibition of ARI local secretion and increasing of the TLP activity were stated in the patients with purulent and specific endobronchitis. In the children with catarrhal endobronchitis the shifts were moderate. Local use of contrykal in the form of ultrasonic inhalations in complex therapy of tuberculosis promoted in short periods reduction of the inhibitory potential, a 2-fold decrease in the terms of clinical recovery from endobronchitis and a decrease in 	the frequency	 of marked fibrous lesions in the bronchi and lungs as compared to analogous patients in the control group treated without the use of the proteinase inhibitor. DOCEND
19496415	T3	org	DOCSTART Assortative pairing in Ixodes ricinus (Acari: Ixodidae), the European vector of Lyme borreliosis. In sexual organisms, the way in which gametes associate can greatly influence the maintenance of genetic variation, the structure of this variation in space, and ultimately organismal evolution. Based on patterns of genetic structure previously found, we explicitly tested whether adults of the sheep tick 	Ixodes ricinus	 pair according to their genetic relatedness. We sampled tick pairs from the vegetation in four natural populations and genotyped individual ticks at seven microsatellite loci. Based on this data, we observed highly significant assortative mating in two of the four locations, a pattern that could not be accounted for by a spatial autocorrelation in the distribution of related ticks. One explanation for these observations may be the existence of local host associations that develop independently in different populations. Assortative mating in I. ricinus will have clear consequences for its population dynamics and, through processes of adaptation and transmission, may significantly
1897552	T29	out	DOCSTART Promoting residencies to pharmacy students. A program for promoting pharmacy residency training to pharmacy students at the University of the Pacific (UOP) is described. A residency club was started in 1982 to increase UOP students' interest in residency training and to provide them with relevant information. Some students needed to be convinced that residencies were primarily educational rather than staffing experiences. Students were made aware of pharmacists' practice in 	specialty areas	, for which residency training is needed, and were taught how to prepare themselves for selection for residencies. The club was formed to encourage mutual support among the students, which would be less likely to occur if residencies were promoted only through work with individual students. Club meetings provide information about available residencies, the application process, and the value of residency training to a career in pharmacy. Students are taught how to prepare curricula vitae, how to interview, and how to select programs to which to apply. Applications for residencies increased. Although the rate of acceptance was low at first, it
26442145	T3	dis	but also light with black body radiation temperatures equal to that of the sun (Brennen 1995 Cavitation and bubble dynamics). But, harnessed carefully, this almost unique ability to focus energy can also be put to remarkably constructive use. Cavitation bubbles are now used in a remarkable range of surgical and medical procedures, for example to emulsify tissue (most commonly in cataract surgery or in lithotripsy procedures for the reduction of kidney and gall stones) or to manipulate the DNA in individual cells. By creating cavitation bubbles non-invasively thereby depositing and focusing energy non-intrusively, one can generate minute incisions or target 	cancer	 cells. This paper will begin by briefly reviewing the history of cavitation phenomena and will end with a vision of the new horizons for the amazing cavitation bubble. DOCEND
23473165	T13	out	DOCSTART Spontaneous symmetry breaking and dynamic phase transition in monolayer silicene. The (sqrt[3]xsqrt[3])R30 degrees honeycomb of silicene monolayer on Ag(111) was found to undergo 	a phase transition	 to two types of mirror-symmetric boundary-separated rhombic phases at temperatures below 40 K by scanning tunneling microscopy. The first-principles calculations reveal that weak interactions between silicene and Ag(111) drive the spontaneous unusual buckling in the monolayer silicene, forming two energy-degenerate and mirror-symmetric (sqrt[3]xsqrt[3])R30 degrees rhombic phases, in which the linear band dispersion near the Dirac point and a significant gap opening (150 meV) at the Dirac point were induced. The low transition barrier between these two phases enables them to be interchangeable through dynamic flip-flop motion, resulting in the (sqrt[3]xsqrt[3])R30 degrees honeycomb structure observed at high temperature. DOCEND
26201484	T2	dis	depend on the ability of the bioactives to reach their designated cellular and subcellular target sites, while minimizing accumulation and side effects at non specific sites. The development of nanotechnology based drug delivery systems that are able to modify the biodistribution, tissue uptake and pharmacokinetics of therapeutic agents is considered of great importance in biomedical research and treatment therapy. Controlled releases from nanocarriers can significantly enhance the therapeutic effect of a drug. Nanotechnology has the potential to revolutionize in cancer diagnosis and therapy. Targeted nano medicines either marketed or under development, are designed for the treatment of various types of 	cancer	. Nanocarriers are able to reduce cytotoxic effect of the active anticancer drugs by increasing cancer cell targeting in comparison to conventional formulations. The newly developed nano devices such as quantum dots, liposomes, nanotubes, nanoparticles, micelles, gold nanoparticles, carbon nanotubes and solid lipid nanoparticles are the most promising applications for various cancer treatments. This review is focused on currently available information regarding pharmaceutical nanocarriers for cancer therapy and imaging. DOCEND
17709303	T27	out	DOCSTART UvrA and UvrB enhance mutations induced by oxidized deoxyribonucleotides. Oxidatively damaged DNA precursors (deoxyribonucleotides) are formed by reactive oxygen species. After the damaged DNA precursors are incorporated into DNA, they might be removed by DNA repair enzymes. In this study, to examine whether a nucleotide excision repair enzyme, Escherichia coli UvrABC, could suppress the mutations induced by oxidized deoxyribonucleotides in vivo, 	oxidized DNA precursors	, 8-hydroxy-2'-deoxyguanosine 5'-triphosphate and 2-hydroxy-2'-deoxyadenosine 5'-triphosphate, were introduced into uvrA, uvrB, and uvrC E. coli strains, and mutations in the chromosomal rpoB gene were analyzed. Unexpectedly, these oxidized DNA precursors induced mutations only slightly in the uvrA and uvrB strains. In contrast, effect of the uvrC-deficiency was not observed. Next, mutT, mutT/uvrA, and mutT/uvrB E. coli strains were treated with H2O2, and the rpoB mutant frequencies were calculated. The frequency of the H2O2-induced mutations was increased in all of the strains tested; however, the increase was three- to four-fold lower in the mutT/uvrA and mutT/uvrB strains than in the mutT strain.
22433250	T5	org	DOCSTART Imaging of HIV-1 envelope-induced virological synapse and signaling on synthetic lipid bilayers. Human immunodeficiency virus type 1 (HIV-1) infection occurs most efficiently via cell to cell transmission(2,10,11). This cell to cell transfer between CD4(+) T cells involves the formation of a virological synapse (VS), which is an F-actin-dependent cell-cell junction formed upon the engagement of 	HIV-1	 envelope gp120 on the infected cell with CD4 and the chemokine receptor (CKR) CCR5 or CXCR4 on the target cell (8). In addition to gp120 and its receptors, other membrane proteins, particularly the adhesion molecule LFA-1 and its ligands, the ICAM family, play a major role in VS formation and virus transmission as they are present on the surface of virus-infected donor cells and target cells, as well as on the envelope of HIV-1 virions(1,4,5,6,7,13). VS formation is also accompanied by intracellular signaling events that are transduced as a result of gp120-engagement of its receptors. Indeed, we have recently showed
12650295	T125	out	day in utero ran a 10 times higher risk of hospitalization than postmature children without exposure to maternal smoking. However, the proportion of admissions attributed to maternal smoking was only 4.7% after adjustments for significant covariates. The number of significant determinants declined in children with their first admission for asthma after 2 y of age but male gender and low educational level were independent determinants in all age groups. Older siblings were related to an increased risk of first asthma admission before 2 y of age but a slightly reduced risk of first admission after 2 y of age. CONCLUSION: 	This study	 illustrates the varied epidemiology of asthma in different age groups. Maternal smoking was an important determinant for admission before 2 y of age but mainly in combination with other factors. The decline in hospital admissions in early childhood would therefore be small, even after the elimination of maternal smoking, if other significant perinatal and socioeconomic factors were unchanged. DOCEND
17399751	T22	che	GSTs of the Asteraceae and their biosynthesis of isoprenoids is reviewed. Recent efforts to understand the biosynthesis of artemisinin in A. annua GSTs are discussed in detail. This includes the development in the authors' laboratory of an expressed sequence tag (EST) approach to identifying the relevant biosynthetic genes using isolated GST as a source of mRNA. This has lead to the isolation of a cDNA encoding CYP71AV1, a multifunctional cytochrome P450 which catalyzes multiple oxidations of the sesquiterpene intermediate amorpha-4,11-diene to artemisinic acid. Further biochemical and molecular genetic work is required to elucidate the precise route from artemisinic alcohol to 	artemisinin	 and to engineer more efficient low cost production of artemisinin-based antimalarial drugs. DOCEND
6601605	T66	out	in an experimental model, analyzing enzyme levels in cerebrospinal fluid. A typical phasic bubble-activity was found in both the arterial line and the carotid artery, with an initial high during the initiation of bypass, a lower plateau during perfusion and a slight increase again with rewarming during reperfusion after releasing the aortic cross clamp. The increase of bubble activity during reperfusion was more pronounced in the carotid artery as bubbles released from the heart were added to those coming from the heart lung machine. After leftsided cardiotomy this activity lasted for up to 20 min after termination of extracorporeal circulation (	ECC	). The use of filters reduced the bubble activity during perfusion significantly, but did not change the activity during reperfusion and after termination of ECC. Liquor enzyme levels were found normal during and after bubbles reperfusion, but rose significantly after leftsided cardiotomy. CO2 wash-out reduced the increase in liquor enzyme levels markedly. DOCEND
